2026-01-22 19:42:25,592 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 19:42:25,618 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 19:42:38,801 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 19:42:38,843 - [INFO] - [PLAYER] Initialized at (1632, 1504) Role: CITIZEN
2026-01-22 19:42:42,965 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (43, 92) | Reason: Go Home | CurrPos: (51, 27)
2026-01-22 19:42:42,975 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (28, 25) | Reason: Go Home | CurrPos: (46, 58)
2026-01-22 19:42:43,109 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (26, 26) | Reason: Go Home | CurrPos: (34, 40)
2026-01-22 19:42:43,232 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 19:42:43,325 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (25, 25) | Reason: Go Home | CurrPos: (34, 39)
2026-01-22 19:42:43,423 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (3, 41) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 19:42:43,472 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 30)
2026-01-22 19:42:43,621 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (4, 42) | Reason: Go Home | CurrPos: (33, 38)
2026-01-22 19:42:43,667 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (3, 40) | Reason: Go Home | CurrPos: (46, 59)
2026-01-22 19:42:43,679 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (60, 59) | Reason: Go Home | CurrPos: (48, 51)
2026-01-22 19:42:43,909 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (60, 58) | Reason: Go Home | CurrPos: (49, 51)
2026-01-22 19:42:43,978 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (34, 11) | Reason: Random Move | CurrPos: (42, 72)
2026-01-22 19:42:44,176 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (29, 25) | Reason: Go Home | CurrPos: (39, 57)
2026-01-22 19:42:44,278 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (96, 58) | Reason: Go Home | CurrPos: (44, 57)
2026-01-22 19:42:44,294 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (12, 53) | Reason: Go Home | CurrPos: (48, 31)
2026-01-22 19:42:44,298 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (28, 25) | Reason: Go Home | CurrPos: (39, 57)
2026-01-22 19:42:44,333 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (73, 80) | Reason: Go Home | CurrPos: (39, 56)
2026-01-22 19:42:44,476 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (89, 58) | Reason: Go Home | CurrPos: (53, 51)
2026-01-22 19:42:44,515 - [DEBUG] - [INPUT] E Key Pressed
2026-01-22 19:42:44,595 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (4, 43) | Reason: Go Home | CurrPos: (27, 38)
2026-01-22 19:42:44,645 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (90, 58) | Reason: Go Home | CurrPos: (54, 51)
2026-01-22 19:42:44,662 - [DEBUG] - [INPUT] E Key Released (Hold: 143ms) Target: (43, 49)
2026-01-22 19:42:44,662 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (33, 22) | Reason: Go Home | CurrPos: (54, 51)
2026-01-22 19:42:44,675 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (33, 83) | Reason: Go Home | CurrPos: (39, 54)
2026-01-22 19:42:44,774 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (14, 91) | Reason: Go Home | CurrPos: (48, 70)
2026-01-22 19:42:44,817 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (95, 58) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 19:42:44,823 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (14, 89) | Reason: Go Home | CurrPos: (48, 70)
2026-01-22 19:42:44,824 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (54, 22) | Reason: Go Home | CurrPos: (39, 53)
2026-01-22 19:42:44,879 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (97, 58) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 19:42:44,941 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (68, 44) | Reason: Random Move | CurrPos: (40, 12)
2026-01-22 19:42:45,016 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (62, 56) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 19:42:45,046 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (7, 90) | Reason: Go Home | CurrPos: (49, 57)
2026-01-22 19:42:45,082 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (74, 10) | Reason: Go Home | CurrPos: (48, 72)
2026-01-22 19:42:45,260 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (55, 22) | Reason: Go Home | CurrPos: (39, 51)
2026-01-22 19:42:45,342 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (36, 32) | Reason: Go Home | CurrPos: (51, 57)
2026-01-22 19:42:45,389 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (4, 41) | Reason: Go Home | CurrPos: (22, 38)
